Column1,stem_word,most_similar_words,new_word_id,similar_word,score,Drew_code,Jenn_code
0,user,"('sodacansuperman', 0.5631051659584045)",1,sodacansuperman,0.563105166,0,0
1,user,"('appdata_local_google_chrome', 0.5278605222702026)",2,appdata_local_google_chrome,0.527860522,0,0
2,user,"('jgoodm', 0.524959921836853)",3,jgoodm,0.524959922,0,0
3,user,"('users', 0.520516037940979)",4,users,0.520516038,1,1
4,user,"('session_authenticated_user', 0.517302930355072)",5,session_authenticated_user,0.51730293,0,0
5,user,"('kajladk', 0.49685412645339966)",6,kajladk,0.496854126,0,0
6,user,"('0x3a', 0.49474912881851196)",7,0x3a,0.494749129,0,0
7,user,"('bdizzle420247', 0.4904922544956207)",8,bdizzle420247,0.490492254,0,0
8,user,"('lolotelli', 0.48631882667541504)",9,lolotelli,0.486318827,0,0
9,user,"('staragate', 0.4809650778770447)",10,staragate,0.480965078,0,0
10,abuser,"('abusers', 0.695186972618103)",11,abusers,0.695186973,1,1
11,abuser,"('perpetrator', 0.636640191078186)",12,perpetrator,0.636640191,0,0
12,abuser,"('offender', 0.6012646555900574)",13,offender,0.601264656,0,0
13,abuser,"('abusee', 0.5953758358955383)",14,abusee,0.595375836,0,1
14,abuser,"('perp', 0.5936321020126343)",15,perp,0.593632102,0,0
15,abuser,"('abusive', 0.5883575677871704)",16,abusive,0.588357568,0,1
16,abuser,"('alcoholic_drug_addict', 0.5800045132637024)",17,alcoholic_drug_addict,0.580004513,1,1
17,abuser,"('abusive_relationship', 0.5596670508384705)",18,abusive_relationship,0.559667051,0,0
18,abuser,"('neglect_abandonment', 0.5559259653091431)",19,neglect_abandonment,0.555925965,0,0
19,abuser,"('unrepentant_abuser', 0.5556890368461609)",20,unrepentant_abuser,0.555689037,0,1
20,junkie,"('addict', 0.5865216851234436)",21,addict,0.586521685,1,1
21,junkie,"('junky', 0.5841946005821228)",22,junky,0.584194601,1,1
22,junkie,"('drug_addict', 0.5667956471443176)",23,drug_addict,0.566795647,1,1
